DATE,DATE_CODE,HH,mm,BOSS_NM1,BOSS_NM2,APPEAR,DB_CODE1,DB_CODE2,TIME
월요일,0,1,45,크자카,.,0,BS_KZK_15,,15
월요일,0,1,50,크자카,.,0,BS_KZK_10,,10
월요일,0,1,55,크자카,.,0,BS_KZK_5,,5
월요일,0,2,0,크자카,.,1,BS_KZK_0,.,0
월요일,0,10,45,크자카,누베르,0,BS_KZK_15,BS_NBR_15,15
월요일,0,10,50,크자카,누베르,0,BS_KZK_10,BS_NBR_10,10
월요일,0,10,55,크자카,누베르,0,BS_KZK_5,BS_NBR_5,5
월요일,0,11,0,크자카,누베르,1,BS_KZK_0,BS_NBR_0,0
월요일,0,13,45,가모스,.,0,BS_GMT_15,.,15
월요일,0,13,50,가모스,.,0,BS_GMT_10,.,10
월요일,0,13,55,가모스,.,0,BS_GMT_5,.,5
월요일,0,14,0,가모스,.,1,BS_GMT_0,.,0
월요일,0,15,45,크자카,쿠툼,0,BS_KZK_15,BS_KT_15,15
월요일,0,15,50,크자카,쿠툼,0,BS_KZK_10,BS_KT_10,10
월요일,0,15,55,크자카,쿠툼,0,BS_KZK_5,BS_KT_5,5
월요일,0,16,0,크자카,쿠툼,1,BS_KZK_0,BS_KT_0,0
월요일,0,19,45,카란다,누베르,0,BS_KRD_15,BS_NBR_15,15
월요일,0,19,50,카란다,누베르,0,BS_KRD_10,BS_NBR_10,10
월요일,0,19,55,카란다,누베르,0,BS_KRD_5,BS_NBR_5,5
월요일,0,20,0,카란다,누베르,1,BS_KRD_0,BS_NBR_0,0
월요일,0,23,0,가모스,.,0,BS_GMT_15,.,15
월요일,0,23,5,가모스,.,0,BS_GMT_10,.,10
월요일,0,23,10,가모스,.,0,BS_GMT_5,.,5
월요일,0,23,15,가모스,.,1,BS_GMT_0,.,0
월요일,0,23,30,오핀,.,0,BS_OPN_15,.,15
월요일,0,23,35,오핀,.,0,BS_OPN_10,.,10
월요일,0,23,40,오핀,.,0,BS_OPN_5,.,5
월요일,0,23,45,오핀,.,1,BS_OPN_0,.,0
화요일,1,1,45,크자카,.,0,BS_KZK_15,.,15
화요일,1,1,50,크자카,.,0,BS_KZK_10,.,10
화요일,1,1,55,크자카,.,0,BS_KZK_5,.,5
화요일,1,2,0,크자카,.,1,BS_KZK_0,.,0
화요일,1,11,45,크자카,쿠툼,0,BS_KZK_15,BS_KT_15,15
화요일,1,11,50,크자카,쿠툼,0,BS_KZK_10,BS_KT_10,10
화요일,1,11,55,크자카,쿠툼,0,BS_KZK_5,BS_KT_5,5
화요일,1,11,0,크자카,쿠툼,1,BS_KZK_0,BS_KT_0,0
화요일,1,13,45,가모스,.,0,BS_GMT_15,.,15
화요일,1,13,50,가모스,.,0,BS_GMT_10,.,10
화요일,1,13,55,가모스,.,0,BS_GMT_5,.,5
화요일,1,14,0,가모스,.,1,BS_GMT_0,.,0
화요일,1,15,45,크자카,누베르,0,BS_KZK_15,BS_NBR_15,15
화요일,1,15,50,크자카,누베르,0,BS_KZK_10,BS_NBR_10,10
화요일,1,15,55,크자카,누베르,0,BS_KZK_5,BS_NBR_5,5
화요일,1,16,0,크자카,누베르,1,BS_KZK_0,BS_NBR_0,0
화요일,1,19,45,카란다,쿠툼,0,BS_KRD_15,BS_KT_15,15
화요일,1,19,50,카란다,쿠툼,0,BS_KRD_10,BS_KT_10,10
화요일,1,19,55,카란다,쿠툼,0,BS_KRD_5,BS_KT_5,5
화요일,1,20,0,카란다,쿠툼,1,BS_KRD_0,BS_KT_0,0
화요일,1,23,0,가모스,.,0,BS_GMT_15,.,15
화요일,1,23,5,가모스,.,0,BS_GMT_10,.,10
화요일,1,23,10,가모스,.,0,BS_GMT_5,.,5
화요일,1,23,15,가모스,.,1,BS_GMT_0,.,0
수요일,2,1,45,누베르,오핀,0,BS_NBR_15,BS_OPN_15,15
수요일,2,1,50,누베르,오핀,0,BS_NBR_10,BS_OPN_10,10
수요일,2,1,55,누베르,오핀,0,BS_NBR_5,BS_OPN_5,5
수요일,2,2,0,누베르,오핀,1,BS_NBR_0,BS_OPN_0,0
수요일,2,13,45,가모스,.,0,BS_GMT_15,.,15
수요일,2,13,50,가모스,.,0,BS_GMT_10,.,10
수요일,2,13,55,가모스,.,0,BS_GMT_5,.,5
수요일,2,14,0,가모스,.,1,BS_GMT_0,.,0
수요일,2,15,45,크자카,누베르,0,BS_KZK_15,BS_NBR_15,15
수요일,2,15,50,크자카,누베르,0,BS_KZK_10,BS_NBR_10,10
수요일,2,15,55,크자카,누베르,0,BS_KZK_5,BS_NBR_5,5
수요일,2,16,0,크자카,누베르,1,BS_KZK_0,BS_NBR_0,0
수요일,2,18,45,귄트/무라카,.,0,BS_ORC_15,.,15
수요일,2,18,50,귄트/무라카,.,0,BS_ORC_10,.,10
수요일,2,18,55,귄트/무라카,.,0,BS_ORC_5,.,5
수요일,2,19,0,귄트/무라카,.,1,BS_ORC_0,.,0
수요일,2,19,45,카란다,크자카,0,BS_KRD_15,BS_KZK_15,15
수요일,2,19,50,카란다,크자카,0,BS_KRD_10,BS_KZK_10,10
수요일,2,19,55,카란다,크자카,0,BS_KRD_5,BS_KZK_5,5
수요일,2,20,0,카란다,크자카,1,BS_KRD_0,BS_KZK_0,0
수요일,2,23,0,가모스,.,0,BS_GMT_15,.,15
수요일,2,23,5,가모스,.,0,BS_GMT_10,.,10
수요일,2,23,10,가모스,.,0,BS_GMT_5,.,5
수요일,2,23,15,가모스,.,1,BS_GMT_0,.,0
목요일,3,0,0,벨,.,0,BS_BLL_15,.,15
목요일,3,0,5,벨,.,0,BS_BLL_10,.,10
목요일,3,0,10,벨,.,0,BS_BLL_5,.,5
목요일,3,0,15,벨,.,1,BS_BLL_0,.,0
목요일,3,1,45,쿠툼,.,0,BS_KT_15,.,15
목요일,3,1,50,쿠툼,.,0,BS_KT_10,.,10
목요일,3,1,55,쿠툼,.,0,BS_KT_5,.,5
목요일,3,2,0,쿠툼,.,1,BS_KT_0,.,0
목요일,3,10,45,크자카,누베르,0,BS_KZK_15,BS_NBR_15,15
목요일,3,10,50,크자카,누베르,0,BS_KZK_10,BS_NBR_10,10
목요일,3,10,55,크자카,누베르,0,BS_KZK_5,BS_NBR_5,5
목요일,3,11,0,크자카,누베르,1,BS_KZK_0,BS_NBR_0,0
목요일,3,13,45,가모스,.,0,BS_GMT_15,.,15
목요일,3,13,50,가모스,.,0,BS_GMT_10,.,10
목요일,3,13,55,가모스,.,0,BS_GMT_5,.,5
목요일,3,14,0,가모스,.,1,BS_GMT_0,.,0
목요일,3,15,45,카란다,쿠툼,0,BS_KRD_15,BS_KT_15,15
목요일,3,15,50,카란다,쿠툼,0,BS_KRD_10,BS_KT_10,10
목요일,3,15,55,카란다,쿠툼,0,BS_KRD_5,BS_KT_5,5
목요일,3,16,0,카란다,쿠툼,1,BS_KRD_0,BS_KT_0,0
목요일,3,19,45,누베르,쿠툼,0,BS_NBR_15,BS_KT_15,15
목요일,3,19,50,누베르,쿠툼,0,BS_NBR_10,BS_KT_10,10
목요일,3,19,55,누베르,쿠툼,0,BS_NBR_5,BS_KT_5,5
목요일,3,20,0,누베르,쿠툼,1,BS_NBR_0,BS_KT_0,0
목요일,3,23,0,가모스,.,0,BS_GMT_15,.,15
목요일,3,23,5,가모스,.,0,BS_GMT_10,.,10
목요일,3,23,10,가모스,.,0,BS_GMT_5,.,5
목요일,3,23,15,가모스,.,1,BS_GMT_0,.,0
금요일,4,1,45,카란다,.,0,BS_KRD_15,.,15
금요일,4,1,50,카란다,.,0,BS_KRD_10,.,10
금요일,4,1,55,카란다,.,0,BS_KRD_5,.,5
금요일,4,2,0,카란다,.,1,BS_KRD_0,.,0
금요일,4,10,45,크자카,쿠툼,0,BS_KZK_15,BS_KT_15,15
금요일,4,10,50,크자카,쿠툼,0,BS_KZK_10,BS_KT_10,10
금요일,4,10,55,크자카,쿠툼,0,BS_KZK_5,BS_KT_5,5
금요일,4,11,0,크자카,쿠툼,1,BS_KZK_0,BS_KT_0,0
금요일,4,13,45,가모스,.,0,BS_GMT_15,.,15
금요일,4,13,50,가모스,.,0,BS_GMT_10,.,10
금요일,4,13,55,가모스,.,0,BS_GMT_5,.,5
금요일,4,14,0,가모스,.,1,BS_GMT_0,.,0
금요일,4,15,45,카란다,누베르,0,BS_KRD_15,BS_NBR_15,15
금요일,4,15,50,카란다,누베르,0,BS_KRD_10,BS_NBR_10,10
금요일,4,15,55,카란다,누베르,0,BS_KRD_5,BS_NBR_5,5
금요일,4,16,0,카란다,누베르,1,BS_KRD_0,BS_NBR_0,0
금요일,4,19,45,크자카,쿠툼,0,BS_KZK_15,BS_KT_15,15
금요일,4,19,50,크자카,쿠툼,0,BS_KZK_10,BS_KT_10,10
금요일,4,19,55,크자카,쿠툼,0,BS_KZK_5,BS_KT_5,5
금요일,4,20,0,크자카,쿠툼,1,BS_KZK_0,BS_KT_0,0
금요일,4,23,0,가모스,.,0,BS_GMT_15,.,15
금요일,4,23,5,가모스,.,0,BS_GMT_10,.,10
금요일,4,23,10,가모스,.,0,BS_GMT_5,.,5
금요일,4,23,15,가모스,.,1,BS_GMT_0,.,0
금요일,4,23,30,오핀,.,0,BS_OPN_15,.,15
금요일,4,23,35,오핀,.,0,BS_OPN_10,.,10
금요일,4,23,40,오핀,.,0,BS_OPN_5,.,5
금요일,4,23,45,오핀,.,1,BS_OPN_0,.,0
토요일,5,1,45,카란다,누베르,0,BS_KRD_15,BS_NBR_15,15
토요일,5,1,50,카란다,누베르,0,BS_KRD_10,BS_NBR_10,10
토요일,5,1,55,카란다,누베르,0,BS_KRD_5,BS_NBR_5,5
토요일,5,2,0,카란다,누베르,1,BS_KRD_0,BS_NBR_0,0
토요일,5,10,45,누베르,쿠툼,0,BS_NBR_15,BS_KT_15,15
토요일,5,10,50,누베르,쿠툼,0,BS_NBR_10,BS_KT_10,10
토요일,5,10,55,누베르,쿠툼,0,BS_NBR_5,BS_KT_5,5
토요일,5,11,0,누베르,쿠툼,1,BS_NBR_0,BS_KT_0,0
토요일,5,13,45,가모스,.,0,BS_GMT_15,.,15
토요일,5,13,50,가모스,.,0,BS_GMT_10,.,10
토요일,5,13,55,가모스,.,0,BS_GMT_5,.,5
토요일,5,14,0,가모스,.,1,BS_GMT_0,.,0
